"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J401";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
2;"C309,C208,C308,C209";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"13pF";;;
3;"C312,C211,C212,C311";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"2nF";;;
4;"U202,U201,U301,U302";"MSOP-8_3x3mm_P0.65mm";4;"LT1807";;;
5;"J204,J203,J201,J303,J302,J301,J304,J202";"U.FL_Molex_MCRF_73412-0110_Vertical";8;"Conn_SMA";;;
6;"J111";"PinSocket_1x07_P2.54mm_Vertical";1;"OLED";;;
7;"R308,R208,R102";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k";;;
8;"R307,R204,R207,R304";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"150";;;
9;"C201,C305,C304,C301,C205,C307,C204,C207";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"10nF";;;
10;"TP302,TP202";"TestPoint_Pad_D2.0mm";2;"AMP_{2}";;;
11;"R212,R309,R211,R209,R311,R213,R313,R312";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"100k";;;
12;"C202,C302,C206,C306,C501";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"0.1uF";;;
13;"TP303,TP203";"TestPoint_Pad_3.0x3.0mm";2;"GND";;;
14;"J104,J102";"PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right";2;"Conn_01x07";;;
15;"SW101";"PinSocket_1x05_P2.54mm_Vertical";1;"Digital_Rotary_Encoder_Switch";;;
16;"TP201,TP301";"TestPoint_Pad_D2.0mm";2;"AMP_{1}";;;
17;"J108,J106";"PinSocket_1x07_P2.54mm_Vertical";2;"Conn_01x07";;;
18;"R206,R310,R210,R306,R106,R105";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
19;"R202,R301,R302,R201";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"50";;;
20;"C405,C406";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF, 50V";;;
21;"mouse-bite-2mm-slot,mouse-bite-2mm-slot";"mouse-bite-2mm-slot";2;"VAL**";;;
22;"J101,J103";"PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right";2;"Conn_01x05";;;
23;"R305,R205";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2.32k";;;
24;"BZ101";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
25;"R401";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"6.65k";;;
26;"R303,R203";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10";;;
27;"U101";"Teensy4.1";1;"Teensy4.1";;;
28;"C310,C210,C203,C303,C403,C404,C402,C401";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"1uF";;;
29;"J107,J105";"PinSocket_1x05_P2.54mm_Vertical";2;"Conn_01x05";;;
30;"BT401";"Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical";1;"Battery_Cell";;;
31;"C407";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF, 50V";;;
32;"D101,D202,D302";"SOT-666";3;"BAS70XY";;;
33;"R402";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"147k";;;
34;"J110";"PinSocket_1x06_P2.54mm_Vertical";1;"Mini GPS";;;
35;"U501";"RJ45_Cetus_J1B1211CCD_Horizontal";1;"J1B12111CCD";;;
36;"R403";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
37;"TP406,TP404,TP403,TP405,TP402";"TestPoint_Pad_D2.0mm";5;"TestPoint";;;
38;"U401";"SOT-23-5_HandSoldering";1;"TCR2EF";;;
39;"U402";"TSOT-23-6_HandSoldering";1;"MAX5026";;;
40;"J109";"PinSocket_1x04_P2.54mm_Vertical";1;"BMP280";;;
41;"D201,D301";"SiPM_MICROFC-60035-SMT-HANDSOLDER";2;"SiPM_MICRORB−60035−MLP";;;
42;"L401";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"47uH";;;
43;"D401";"D_SOD-123";1;"D_Schottky";;;
44;"J112";"PinHeader_1x05_P2.54mm_Vertical";1;"DS3231";;;
45;"TP401";"TestPoint_Pad_3.0x3.0mm";1;"TestPoint";;;
