Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C401,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-78.962501,-96.249999,90,bottom
C402,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-83.712501,-100.499999,180,bottom
C403,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-78.775001,-100.449999,0,bottom
C404,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.500001,-79.499999,180,bottom
C501,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-57.250001,-124.499999,-90,bottom
D201,SiPM_MICRORB−60035−MLP,SiPM_MICROFC-60035-SMT-HANDSOLDER,-102,-50,180,bottom
D301,SiPM_MICRORB−60035−MLP,SiPM_MICROFC-60035-SMT-HANDSOLDER,-50,-50,180,bottom
D401,D_Schottky,D_SOD-123,-38.000001,-79.749999,180,bottom
J105,Conn_01x05,PinSocket_1x05_P2.54mm_Vertical,-93.950001,-92.524999,-90,bottom
J106,Conn_01x07,PinSocket_1x07_P2.54mm_Vertical,-91.400001,-127.499999,-90,bottom
J109,BMP280,PinSocket_1x04_P2.54mm_Vertical,-51.275001,-112.549999,0,bottom
J112,DS3231,PinHeader_1x05_P2.54mm_Vertical,-51.300001,-99.499999,0,bottom
L401,47uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,-32.250001,-85.249999,90,bottom
R102,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-76.750001,-130.749999,180,bottom
R105,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-31.750001,-110.999999,0,bottom
R106,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-31.500001,-97.999999,0,bottom
U401,TCR2EF,SOT-23-5_HandSoldering,-83.712501,-96.249999,0,bottom
U402,MAX5026,TSOT-23-6_HandSoldering,-38.040001,-84.749999,180,bottom
