Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT401,Battery_Cell,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,70.000001,-80.449999,180,top
BZ101,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,80.500001,-130.620784,90,top
C201,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.5,-32.500001,180,top
C202,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.5,-36.500001,180,top
C203,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88.750001,-65.5,0,top
C204,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.750001,-65.5,180,top
C205,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.750001,-62.5375,-90,top
C206,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.999999,-28.5,0,top
C207,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.999999,-28.5,0,top
C208,13pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.5,-28.500001,0,top
C209,13pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.999999,-29.5,90,top
C210,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.999999,-28.5,0,top
C211,2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114,-50.999999,-90,top
C212,2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.5,-55.999999,-90,top
C301,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,29.5,-32.5,180,top
C302,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,29.5,-36.5,180,top
C303,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,36.75,-65.5,0,top
C304,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,31.75,-65.5,180,top
C305,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,40.75,-62.5375,-90,top
C306,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71,-28.5,0,top
