Comment,Designator,Footprint,LCSC
"Battery_Cell","BT401","Connector_Molex:Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical","C518987"
"Buzzer","BZ101","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","C76871"
"10nF","C201,C204,C205,C207,C301,C304,C305,C307","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"0.1uF","C202,C206,C302,C306,C501","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1uF","C203,C210,C303,C310,C401,C402,C403,C404","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"13pF","C208,C209,C308,C309","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2nF","C211,C212,C311,C312","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1uF, 50V","C405,C406","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10nF, 50V","C407","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"BAS70XY","D101,D202,D302","CosmicWatchPro:SOT-666","C73592"
"SiPM_MICRORB−60035−MLP","D201,D301","CosmicWatchPro:SiPM_MICROFC-60035-SMT-HANDSOLDER","C905854"
"D_Schottky","D401","Diode_SMD:D_SOD-123","C1884550"
"Conn_01x05","J101,J103","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right",""
"Conn_01x07","J102,J104","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right",""
"Conn_01x05","J105,J107","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"Conn_01x07","J106,J108","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"BMP280","J109","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"Mini GPS","J110","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"OLED","J111","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"DS3231","J112","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"Conn_SMA","J201,J202,J203,J204,J301,J302,J303,J304","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"47uH","L401","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","C113070"
"1k","R102,R208,R308","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10k","R105,R106,R206,R210,R306,R310","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"50","R201,R202,R301,R302","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","R203,R303","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"150","R204,R207,R304,R307","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"2.32k","R205,R305","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"100k","R209,R211,R212,R213,R309,R311,R312,R313","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"6.65k","R401","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"147k","R402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"100","R403","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"Digital_Rotary_Encoder_Switch","SW101","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"AMP_{1}","TP201,TP301","TestPoint:TestPoint_Pad_D2.0mm",""
"AMP_{2}","TP202,TP302","TestPoint:TestPoint_Pad_D2.0mm",""
"GND","TP203,TP303","TestPoint:TestPoint_Pad_3.0x3.0mm",""
"TestPoint","TP401","TestPoint:TestPoint_Pad_3.0x3.0mm",""
"TestPoint","TP402,TP403,TP404,TP405,TP406","TestPoint:TestPoint_Pad_D2.0mm",""
"Teensy4.1","U101","CosmicWatchPro:Teensy4.1",""
"LT1807","U201,U202,U301,U302","Package_SO:MSOP-8_3x3mm_P0.65mm","C665379"
"TCR2EF","U401","Package_TO_SOT_SMD:SOT-23-5_HandSoldering",""
"MAX5026","U402","Package_TO_SOT_SMD:TSOT-23-6_HandSoldering","C87603"
"J1B12111CCD","U501","Connector_RJ:RJ45_Cetus_J1B1211CCD_Horizontal",""
